topic,author_id
Dragon Ball Z,19
United States Border Patrol,18
Soldier's Creed,18
Brad Paisley,18
Snow,18
Gunnery sergeant,18
Toy,18
LGM-30 Minuteman,18
Camping,18
Jesus Christ,18
Skrillex,18
Evil clown,18
United States Coast Guard Academy,18
Jayceon Terrell Taylor,18
Justin Timberlake,18
Three Days Grace,18
College,18
Usher,18
Bow and arrow,18
Shaving,18
Creedence Clearwater Revival,18
The Tonight Show,18
Mark Ronson,18
National Basketball Association,18
Haul video,18
Northrop Grumman X-47B,18
Rocket,18
The Pacific,18
United States Navy diver,18
Commandant of the Marine Corps,18
Best Warrior,18
Aaron Lewis,18
"Sturm, Ruger & Co., Inc.",18
One Hell of an Amen,18
Stryker,18
Intercontinental ballistic missile,18
Combat sidestroke,18
Ferguson,18
Shark,18
Robot,18
160th Special Operations Aviation Regiment (Airborne),18
Fall Out Boy,18
Bun,18
The X Factor (UK),18
Cavalry scout,18
Shootout,18
Boat,18
Christopher Heben,18
3rd Battalion 1st Marines,18
German Shepherd,18
Will Ferrell,18
The Last of Us,18
Immersive video,18
Jimmy Kimmel Live!,18
Meghan Trainor,18
Aerobic exercise,18
VanossGaming,18
Dr. Dre,18
The Interview,18
David Guetta,18
Battle of Mogadishu,18
Young Thug,18
Handgun holster,18
USS John C. Stennis,18
Knockout,18
Ukraine,18
Deer,18
Specialist,18
Bomb,18
3rd Marine Aircraft Wing,18
50 Cent,18
Sia Furler,18
Parkour,18
Anime,18
Bon Jovi,18
Special Purpose Marine Air-Ground Task Force for Crisis Response,18
Nerf,18
Michelle Obama,18
Lilly Singh,18
Boeing B-17 Flying Fortress,18
WorldStarHipHop,18
Brandon Tyler Webb,18
Castle of Glass,18
Spider-Man,18
Tool,18
Yoga,18
Pit bull,18
BMW,18
Bebe Rexha,18
Television program,18
Drifting,18
9×19mm Parabellum,17
Ellie Goulding,17
Far Cry 4,17
John Glenn,17
Live,17
Knot,17
15th Marine Expeditionary Unit,17
Conan,17
Zumwalt class destroyer,17
Sugar,17
Mariah Carey,17
Slam dunk,17
Stephen Curry,17
Gatling gun,17
Piracy,17
Alan Jackson,17
Skateboard,17
Smith & Wesson M&P,17
Carrier,17
Lackland Air Force Base,17
ESPN,17
Naval ship,17
Games,17
Flash mob,17
Metal detector,17
Flamethrower,17
Combined arms,17
Tom Clancy's Ghost Recon Wildlands,17
Birthday,17
Republican National Convention,17
"Nike, Inc.",17
Hallelujah,17
Lightsaber,17
CBRN defense,17
Audition,17
Lion,17
.22 Long Rifle,17
Funeral,17
Hans Zimmer,17
Boot,17
10th Mountain Division,17
Haka,17
United States Secretary of Defense,17
Netherlands Marine Corps,17
Bug-out bag,17
Japan,17
Convoy,17
Drum and bugle corps,17
Elvis Presley,17
Marine Corps Air Ground Combat Center Twentynine Palms,17
Schweizerische Industrie Gesellschaft,17
Tornado,17
Marine Corps Air Station Miramar,17
Super Bowl,17
M14 rifle,17
Captain America: Civil War,17
Jet aircraft,17
Ghillie suit,17
Northrop Grumman B-2 Spirit,17
German Defence Force,17
Sneakers,17
M60 machine gun,17
Watch Me (Whip / Nae Nae),17
Main battle tank,17
Minot,17
YG,17
First sergeant,17
Beretta M9,17
FN SCAR,17
Montgomery Gentry,17
Miramar Air Show,17
God,17
Kid Ink,17
John Oliver,17
Seether,17
Bench press,17
Sikorsky CH-53 Sea Stallion,17
South Park,17
The Stars and Stripes Forever,17
Northrop Grumman E-2 Hawkeye,17
Riot,17
Daughter,17
Matthew Axelson,17
Smosh,17
Pearl Harbor,17
Chief of Naval Operations,17
Warcraft,17
Lil Dicky,17
The Basic School,16
Modern United States Navy carrier air operations,16
BASE jumping,16
Late Night with Jimmy Fallon,16
Bagpipes,16
BGM-71 TOW,16
Dogfight,16
Grenade launcher,16
.45 ACP,16
Bad Lip Reading,16
Long-range reconnaissance patrol,16
Hamburger,16
Heavy metal,16
Nirvana,16
Marine Corps Air Station Yuma,16
Technology,16
Husband,16
Stolen Valor Act of 2005,16
