topic,group,author_id
Phora,0051,2
Renegade,0051,1
Still Get Through the Day,0051,1
"Russ, Bas-Rhin",0051,1
You Say (Puppy Love),0051,1
Classified,0051,1
Downtown Love,0051,1
Young Sinatra Iii,0051,2
Knott's Berry Farm,0051,2
The Labyrinth Song,0051,1
Memphis May Fire,0051,3
Ten Thousand Hours,0051,1
Slim Thug,0051,3
Anaheim Police Department,0051,1
Same Ol’,0051,1
The Loser Wins,0051,1
Krizz Kaliko,0051,4
Jarren Benton,0051,1
Buena Park High School,0051,1
Self-esteem,0051,1
Russefeiring,0051,1
Tim Russ,0051,1
Prayin for You,0051,1
Ryan Lewis,0051,1
Your Name Here,0051,1
Pompadour,0051,1
Mike Stud,0051,2
Growing Pains,0051,1
Dave Sardy,0051,1
Enrique Bunbury,0051,3
Until I Die,0051,1
All I Have,0051,3
Classified advertising,0051,1
Aviano,0051,1
Guarantees,0051,1
Living Legends,0051,1
Marcus Tyrone Gray,0051,2
Everybody Wants to Rule the World,0051,3
Scoot,0051,2
Bonfire Heart,0051,1
Anaheim Fire Department,0051,1
Porque las cosas cambian,0051,2
Los Habitantes,0051,1
Shine On,0051,1
Knott's Scary Farm,0051,1
Kick scooter,0051,1
Flatland BMX,0051,1
Altus Air Force Base,0051,6
Knocking on Wood,0051,1
Christian hip hop,0051,1
We Forgot,0051,1
Lo que más te gustó de mí,0051,1
LG G3,0051,1
Sleeping with Sirens,0051,3
Liter,0051,1
NB Ridaz,0051,1
Lorde,0051,5
Tompkins Square Park,0051,1
The Endless Summer,0051,1
Saukrates,0051,1
Stressed Out,0051,8
Dead Presidents Iii,0051,1
Old Friend,0051,2
Another Night,0051,2
Más alto que nosotros sólo el cielo,0051,1
James Blunt,0051,1
Cardboard Castles,0051,2
Killin My Soul,0051,1
The Last to Say,0051,1
Pell,0051,1
Never Fallin',0051,1
Under Pressure,0051,6
Faster,0051,1
Diemon,0051,1
Don't Waste Your Life,0051,1
Brother Ali,0051,2
Los inmortales,0051,1
Background check,0051,1
Just Like You,0051,1
Tortoise,0051,2
Nikki Jean,0051,1
MC Magic,0051,1
R.A. The Rugged Man,0051,1
Just Another Day (In My Mind),0051,1
Work Everyday,0051,1
Baylor Bears basketball,006,2
Texas Tech Red Raiders football,006,2
Louisville Cardinals football,006,2
NBA playoffs,006,1
A Beautiful Lie,006,3
Scalable Link Interface,006,1
Bryan Odell,006,1
Cedric Bixler-Zavala,006,1
WACH,006,9
Synyster Gates,006,1
Keytar,006,1
Nigel Hayes,006,1
The Pete Holmes Show,006,2
Trey Parker,006,1
White Walls,006,2
There’s No Sympathy for the Dead,006,1
Relient K,006,1
Creighton Bluejays men's basketball,006,1
Three-point field goal,006,1
Hell's Kitchen (US) Season 13,006,1
NBA regular season records,006,1
Ester Dean,006,1
Pinkly Smooth,006,1
These Colours Don't Run,006,1
Notes In Constellations,006,1
Take the Veil Cerpin Taxt: B. And Ghosted Pouts,006,1
Coach,006,2
Danny Green,006,1
Cristiane Justino,006,2
Texas A&M University,006,2
Meiji period,006,1
2011–12 NBA season,006,1
Star Wars: The Clone Wars – Lightsaber Duels,006,3
R.J. Hunter,006,1
Visual perception,006,1
Menelik Watson,006,1
Vengeance Falls,006,1
RJD2,006,1
Wisconsin Badgers men's basketball,006,1
Painkiller,006,2
Star Wars: Threads of Destiny,006,1
Joe Adams,006,1
Cemetery Gates,006,1
Yu-Gi-Oh! Trading Card Game,006,3
"This War Is Ours (The Guillotine, Part II)",006,1
Pantera,006,5
The MAX Sessions,006,1
Beautiful Dangerous,006,1
Paige,006,2
Craig Hodges,006,1
Scuzz,006,1
Sports injury,006,2
Machine Head,006,3
Overclocking,006,1
Heralds,006,1
Interview With Quentin Tarantino,006,1
Killswitch Engage,006,5
Quebec Magnetic,006,1
Resident Evil: Apocalypse,006,2
The Architects,006,1
Point,006,1
Acoustic music,006,5
Through the Fire and Flames,006,3
Chiodos,006,1
McFly,006,2
Dimebag Darrell,006,1
Margot Robbie,006,3
Jared Leto,006,2
Mr. Highway’s Thinking About the End,006,2
Matt Stone,006,1
Ethan Wragge,006,1
Natalya,006,1
Direct-to-video,006,2
Biceps curl,006,6
Quentin Tarantino,006,2
Star Wars: Knights of the Old Republic II – The Sith Lords,006,1
Limitless,006,2
Metro 2033,006,2
Yao Ming,006,1
National Collegiate Athletic Association,006,2
M. Shadows,006,1
Brompton Cocktail,006,1
Andy Biersack,006,1
DragonForce,006,4
The Mars Volta,006,1
Star Wars: Knights of the Old Republic,006,3
A Day To Remember,006,7
GeForce,006,1
Yu-Gi-Oh! Trading Card Game sets,006,1
Wisconsin Badgers,006,1
Step cutting,006,1
My Curse,006,1
Escape The Fate,006,2
Gabrielle Union,006,1
Wolves at the Gate,006,1
Revan,006,2
Georgia State Panthers men's basketball,006,1
Camilla Luddington,006,1
Penguins of Madagascar,006,1
Maisie Williams,0070,2
Mudvayne,0070,2
Long Black Train,0070,3
Playground,0070,5
Iron Sky,0070,1
Semper paratus,0070,8
National Oceanic and Atmospheric Administration,0070,4
Award,0070,3
Chamillionaire,0070,2
Aerials,0070,2
Seventeen Days,0070,1
Device,0070,1
John Reese,0070,1
Timothy McGee,0070,1
Boom Boom,0070,1
